x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
9,3,0.17,2.65,428,3.34,2.96,0.8,19.16,4.69,62.51,3.44,0.1,0.96,18
12,3,0.26,2.5,380,3.74,2.8,0.65,19.93,4.05,62.69,4.01,0.03,1,18
5,2,0.26,2.46,445,1.46,2.86,0.66,21.96,4.46,61.98,4.6,0.14,1.09,18.1
3,3,0.11,1.44,431,1.79,2.85,0.84,21.79,4.06,60.04,4.53,0.1,1.05,18.1
3,3,0,1.56,416,1.67,2.87,0.82,21.73,4.87,61.81,4.14,0.08,1.03,18.1
9,3,0.61,3.68,426,3.93,2.99,0.74,19.87,4.36,63.9,3.5,0.04,0.82,18.1
9,3,0.15,2.43,421,3.65,3.07,0.84,19.23,4.55,62.66,3.48,0.1,0.77,18.1
10,2,0.23,2.04,408,3.45,2.9,0.52,19.69,4.16,63.13,4.08,0.03,0.91,18.1
11,2,0.2,2.11,407,3.92,2.83,0.53,19.45,3.98,62.98,4.05,0.03,0.9,18.1
11,3,0.29,2.35,408,3.75,2.86,0.54,19.83,3.97,63.06,4.15,0.03,0.92,18.1
11,3,0.24,2.19,394,3.86,3.01,0.56,19.39,4.29,62.6,3.85,0.03,0.89,18.1
11,3,0.29,1.86,393,3.67,2.75,0.64,19.82,4.14,62.84,3.88,0.03,0.92,18.1
12,2,0.28,2.26,418,3.98,2.87,0.59,19.15,4.38,62.52,3.63,0.03,0.82,18.1
3,3,0.32,2.8,409,3.88,2.77,0.64,19.83,4.17,62.77,3.87,0.03,0.97,18.1
4,3,0.3,2.53,398,4.04,2.71,0.67,19.85,4.18,62.93,3.76,0.04,0.95,18.1
5,2,0.28,2,442,3.86,2.93,0.51,20.9,4.1,63.74,4.02,0.13,0.63,18.2
7,2,1.39,0.06,475,3.54,2.79,0.74,20.04,3.83,62.51,4.02,0.11,1.09,18.2
7,2,2.6,0.41,477,4.49,2.76,0.71,19.82,3.81,62.37,3.98,0.1,0.99,18.2
2,2,0.16,1.64,431,1.54,2.94,0.87,22.31,4.66,61.37,4.3,0.09,0.99,18.2
